17889,State,PopulationLatitude,,Longitude
Memphis,Tennessee,651073,35.1046,-89.9773
Louisville,Kentucky,617790,35.8246,-84.0552
New York City,New York,8336817,40.6943,-73.9249
Los Angeles,California,3979576,34.1139,-118.407
Chicago,Illinois,2693976,41.8373,-87.6862
Houston,Texas,2320268,29.7863,-95.3889
Phoenix,Arizona,1680992,33.5722,-112.089
Philadelphia,Pennsylvania,1584064,40.0077,-75.1339
Jacksonville,Florida,911507,30.3322,-81.6749
Columbus,Ohio,898553,39.9862,-82.985
Seattle,Washington,753675,47.6211,-122.324
San Francisco,California,881549,37.7562,-122.443
Abbeville,Alabama,2560,31.5664,-85.2528
Abbeville,Georgia,2684,31.9925,-83.3068
Abbeville,Louisiana,12038,29.975,-92.1265
Abbeville,Mississippi,423,34.5034,-89.5025
Abbeville,South Carolina,5014,34.1787,-82.3774
Abbotsford,Wisconsin,2233,44.9432,-90.3169
Abbott,Texas,369,31.8869,-97.08
Abbyville,Kansas,85,37.9704,-98.2028
Abercrombie,North Dakota,249,46.4471,-96.7294
Aberdeen,Idaho,1977,42.9441,-112.838
Aberdeen,Maryland,16019,39.5146,-76.173
Aberdeen,Mississippi,5205,33.8287,-88.5539
Aberdeen,North Carolina,7988,35.135,-79.4326
Aberdeen,Ohio,1604,38.6714,-83.7705
Aberdeen,South Dakota,28257,45.4646,-98.468
Aberdeen,Washington,16756,46.9757,-123.809
Abernathy,Texas,2706,33.8389,-101.823
Abie,Nebraska,65,41.3339,-96.9495
Abilene,Kansas,6201,38.9229,-97.2251
Abilene,Texas,123420,32.4543,-99.7384
Abingdon,Illinois,3051,40.8039,-90.401
Abingdon,Virginia,7867,36.7089,-81.9713
Abita Springs,Louisiana,2614,30.4761,-90.0292
Abrams,Wisconsin,1893,44.7796,-88.0605
Absecon,New Jersey,8818,39.4228,-74.4944
Accident,Maryland,312,39.6257,-79.32
Accomac,Virginia,485,37.7196,-75.6674
Acequia,Idaho,133,42.6688,-113.597
Achille,Oklahoma,540,33.8346,-96.39
Ackerly,Texas,232,32.5251,-101.716
Ackerman,Mississippi,1448,33.311,-89.1711
Ackley,Iowa,1498,42.5519,-93.0526
Ackworth,Iowa,105,41.3642,-93.4723
Acworth,Georgia,22818,34.0566,-84.6715
Ada,Minnesota,1563,47.2992,-96.5165
Ada,Ohio,5544,40.7681,-83.8253
Ada,Oklahoma,17235,34.7683,-96.6689
Adair,Iowa,713,41.5004,-94.6434
Adair,Oklahoma,811,36.4366,-95.2727
Adair Village,Oregon,874,44.6707,-123.216
Adairsville,Georgia,4963,34.3708,-84.9211
Adairville,Kentucky,885,36.671,-86.856
Adams,Minnesota,790,43.5654,-92.719
Adams,Nebraska,617,40.4571,-96.5127
Adams,North Dakota,119,48.4202,-98.0737
Adams,Oregon,357,45.7663,-118.564
Adams,Tennessee,671,36.5826,-87.0634
Adams,Wisconsin,1893,43.9554,-89.8169
Adamsville,Alabama,4281,33.6063,-86.9745
Adamsville,Ohio,124,40.0689,-81.8826
Adamsville,Tennessee,2164,35.2563,-88.3862
Addieville,Illinois,238,38.3913,-89.4865
Addington,Oklahoma,107,34.2431,-97.9661
Addis,Louisiana,6221,30.3652,-91.2659
Addison,Alabama,718,34.2017,-87.1765
Addison,Illinois,36482,41.9314,-88.0085
Addison,Michigan,583,41.9862,-84.3491
Addison,Texas,16263,32.959,-96.8355
Addyston,Ohio,936,39.1371,-84.7104
Adel,Georgia,5336,31.1272,-83.4232
Adel,Iowa,5455,41.6121,-94.0129
Adelanto,California,34049,34.5815,-117.44
Adeline,Illinois,80,42.1405,-89.4918
Adell,Wisconsin,512,43.6214,-87.9482
Adelphi,Ohio,375,39.4647,-82.7456
Adena,Ohio,704,40.2166,-80.8762
Admire,Kansas,152,38.641,-96.102
Adona,Arkansas,206,35.0399,-92.8991
Adrian,Georgia,668,32.5306,-82.592
Adrian,Michigan,20600,41.8994,-84.0446
Adrian,Minnesota,1218,43.6332,-95.933
Adrian,Missouri,1597,38.396,-94.3498
Adrian,Oregon,173,43.7408,-117.071
Adrian,Texas,170,35.2742,-102.667
Advance,Indiana,514,39.9956,-86.6199
Advance,Missouri,1336,37.1038,-89.9119
Afton,Iowa,815,41.0276,-94.1954
Afton,Minnesota,3028,44.9042,-92.8174
Afton,Oklahoma,1020,36.6965,-94.9579
Afton,Wyoming,2041,42.7271,-110.931
Agar,South Dakota,80,44.8398,-100.073
Agency,Iowa,643,40.9975,-92.3072
Agency,Missouri,660,39.6698,-94.7587
Agenda,Kansas,66,39.7066,-97.4322
Agoura Hills,California,20222,34.151,-118.761
Agra,Kansas,241,39.7613,-99.1194
Agra,Oklahoma,344,35.895,-96.8702
Agua Dulce,Texas,801,31.6549,-106.137
Aguilar,Colorado,480,37.4036,-104.655
Ahmeek,Michigan,144,47.2984,-88.3972
Ahoskie,North Carolina,4763,36.2843,-76.9898
Aiken,South Carolina,30869,33.531,-81.7268
Ailey,Georgia,536,32.1882,-82.5699
Ainsworth,Iowa,579,41.29,-91.5545
Ainsworth,Nebraska,1620,42.5485,-99.8574
Airmont,New York,8786,41.0992,-74.099
Airport Drive,Missouri,868,37.1406,-94.5162
Airway Heights,Washington,9485,47.646,-117.579
Aitkin,Minnesota,1985,46.5289,-93.7067
Akaska,South Dakota,47,45.3309,-100.121
Akeley,Minnesota,443,47.0005,-94.728
Akron,Alabama,328,32.8785,-87.7429
Akron,Colorado,1723,40.1635,-103.22
Akron,Indiana,1105,41.0388,-86.0249
Akron,Iowa,1463,42.8268,-96.5571
Akron,Michigan,375,43.5667,-83.5143
Akron,New York,2856,43.0179,-78.4978
Akron,Ohio,197597,41.0798,-81.5219
Alabaster,Alabama,33487,33.2198,-86.8225
Alachua,Florida,9899,29.7778,-82.4831
Alamance,North Carolina,1042,36.0285,-79.4891
Alameda,California,77624,37.767,-122.267
Alamo,Georgia,3317,32.1469,-82.7798
Alamo,Indiana,64,39.9834,-87.0552
Alamo,North Dakota,78,48.5825,-103.468
Alamo,Tennessee,2277,35.783,-89.1168
Alamo,Texas,19910,26.1811,-98.1177
Alamo Heights,Texas,8614,29.4828,-98.4682
Alamogordo,New Mexico,31980,32.8837,-105.962
Alamosa,Colorado,9591,37.4751,-105.877
Alanson,Michigan,764,45.4425,-84.7871
Alapaha,Georgia,675,31.3832,-83.2237
Alba,Missouri,542,37.2372,-94.4175
Alba,Texas,545,32.7906,-95.6343
Albany,California,19696,37.8898,-122.302
Albany,Georgia,72130,31.5776,-84.1762
Albany,Illinois,863,41.7861,-90.2164
Albany,Indiana,2148,40.3056,-85.2331
Albany,Kentucky,2002,36.6906,-85.1353
Albany,Louisiana,1159,30.4996,-90.584
Albany,Minnesota,2766,45.6284,-94.5677
Albany,Missouri,1675,40.2479,-94.3335
Albany,New York,96460,42.6664,-73.7987
Albany,Ohio,891,39.2245,-82.1977
Albany,Oregon,55338,44.6274,-123.097
Albany,Texas,1934,32.7272,-99.2956
Albany,Wisconsin,1139,42.7069,-89.4367
Albee,South Dakota,15,45.0513,-96.5535
Albemarle,North Carolina,16246,35.3594,-80.1915
Albers,Illinois,1135,38.5452,-89.6142
Albert,Kansas,164,38.454,-99.0112
Albert City,Iowa,665,42.7816,-94.9491
Albert Lea,Minnesota,17656,43.6547,-93.3642
Alberta,Minnesota,99,45.5749,-96.0505
Alberta,Virginia,270,36.8552,-77.8937
Alberton,Montana,446,47.0037,-114.482
Albertville,Alabama,21711,34.2634,-86.2107
Albertville,Minnesota,7539,45.2364,-93.6618
Albia,Iowa,3681,41.0272,-92.8039
Albin,Wyoming,206,41.4174,-104.102
Albion,Idaho,276,42.4099,-113.581
Albion,Illinois,1899,38.3767,-88.0579
Albion,Indiana,2373,41.3966,-85.4187
Albion,Iowa,490,42.1125,-92.9887
Albion,Michigan,8402,42.2478,-84.7572
Albion,Nebraska,1585,41.6872,-97.9987
Albion,New York,7982,43.246,-78.1902
Albion,Oklahoma,100,34.6623,-95.0992
Albion,Washington,604,46.7916,-117.251
Albright,West Virginia,282,39.4937,-79.6399
Albuquerque,New Mexico,560513,35.1053,-106.646
Alburnett,Iowa,699,42.1492,-91.621
Alcester,South Dakota,755,43.0231,-96.6279
Alcoa,Tennessee,9980,35.8073,-83.9752
Alda,Nebraska,662,40.8666,-98.4679
Alden,Iowa,738,42.5114,-93.38
Alden,Kansas,142,38.2438,-98.3117
Alden,Minnesota,639,43.6695,-93.5735
Alderson,Oklahoma,289,34.9008,-95.69
Alderson,West Virginia,1125,37.7277,-80.6436
Aldora,Georgia,109,33.0509,-84.1759
Aldrich,Minnesota,45,46.3747,-94.9394
Aldrich,Missouri,81,37.5489,-93.5512
Aledo,Illinois,3432,41.1984,-90.7459
Aledo,Texas,4985,32.6973,-97.607
Alex,Oklahoma,548,34.9227,-97.7763
Alexander,Arkansas,3457,34.6185,-92.4512
Alexander,Iowa,161,42.8044,-93.4786
Alexander,Kansas,59,38.4694,-99.5529
Alexander,North Dakota,375,47.8393,-103.643
